id	action	attribute	value
nmdc:omprc-11-sn66gy21	remove item	has_output	nmdc:cdcf3dca009870a1cc9cc6112b3c6759|
nmdc:omprc-11-sn66gy21	insert	has_output	nmdc:dobj-11-wxyy2095|
nmdc:omprc-11-9th2rh57	remove item	has_output	nmdc:0d9c2c0e491d888c15bf5c0ecd2cc2fb|
nmdc:omprc-11-9th2rh57	insert	has_output	nmdc:dobj-11-sr35m255|
nmdc:omprc-11-v0cypx57	remove item	has_output	nmdc:0320e64bf1a59f127e79945169916eb8|
nmdc:omprc-11-v0cypx57	insert	has_output	nmdc:dobj-11-6tr5h751|
nmdc:omprc-11-mevp5p30	remove item	has_output	nmdc:e6fa010e48b16b03572e11278a1b1065|
nmdc:omprc-11-mevp5p30	insert	has_output	nmdc:dobj-11-9x3xrq93|
nmdc:omprc-11-p38ef780	remove item	has_output	nmdc:4ce0ac182f6b1d5e8e63d50fb7f6da4c|
nmdc:omprc-11-p38ef780	insert	has_output	nmdc:dobj-11-cbymnr47|
nmdc:omprc-11-08k5m384	remove item	has_output	nmdc:4890cb581312c33b0c79e9ca09a8327e|
nmdc:omprc-11-08k5m384	insert	has_output	nmdc:dobj-11-qr97dc06|
nmdc:omprc-11-s7cb9r89	remove item	has_output	nmdc:a08c6bbc1227eafe6e5b224e66160aa6|
nmdc:omprc-11-s7cb9r89	insert	has_output	nmdc:dobj-11-ezdjt540|
nmdc:omprc-11-zfq3wt41	remove item	has_output	nmdc:58f32559d78ce12f3e65bd223e574a79|
nmdc:omprc-11-zfq3wt41	insert	has_output	nmdc:dobj-11-hnzxbj53|
nmdc:omprc-11-wp78xt67	remove item	has_output	nmdc:ca08abf01531eb4e621b68cec5de570e|
nmdc:omprc-11-wp78xt67	insert	has_output	nmdc:dobj-11-w7y9qj77|
nmdc:omprc-11-d33tzp14	remove item	has_output	nmdc:94c0281aba99159bf69c296a5e579ece|
nmdc:omprc-11-d33tzp14	insert	has_output	nmdc:dobj-11-fjmkwj71|
nmdc:omprc-11-epze3h17	remove item	has_output	nmdc:8c2a284bef9e01f300addbc05d5edf32|
nmdc:omprc-11-epze3h17	insert	has_output	nmdc:dobj-11-e08jzb24|
nmdc:omprc-11-wwkz5912	remove item	has_output	nmdc:de403b44749af67c65b37e174610e0ec|
nmdc:omprc-11-wwkz5912	insert	has_output	nmdc:dobj-11-hbjr6h48|
nmdc:omprc-11-s7p7xq39	remove item	has_output	nmdc:e1789bd5142ace6c8d6452cb6719384e|
nmdc:omprc-11-s7p7xq39	insert	has_output	nmdc:dobj-11-nwy4jx41|
nmdc:omprc-11-qtrrwm54	remove item	has_output	nmdc:771ea9a669999e9bceb989c0fdaca143|
nmdc:omprc-11-qtrrwm54	insert	has_output	nmdc:dobj-11-y3vsn563|
nmdc:omprc-11-ha6ktt27	remove item	has_output	nmdc:fa5384ed7b4b09b61895fd8967ec2e84|
nmdc:omprc-11-ha6ktt27	insert	has_output	nmdc:dobj-11-8n5byw45|
nmdc:omprc-11-y7skb569	remove item	has_output	nmdc:5abb54ed3c9e8d278310170f22b7f6f1|
nmdc:omprc-11-y7skb569	insert	has_output	nmdc:dobj-11-52hy8j81|
nmdc:omprc-11-49x57s66	remove item	has_output	nmdc:1fe659df2351222a9634b74559ea1a02|
nmdc:omprc-11-49x57s66	insert	has_output	nmdc:dobj-11-k41awm94|
nmdc:omprc-11-edc20563	remove item	has_output	nmdc:2cbb0fed50849dfea6c870537aee0518|
nmdc:omprc-11-edc20563	insert	has_output	nmdc:dobj-11-e453qg63|
nmdc:omprc-11-atg8yc28	remove item	has_output	nmdc:12bec209e5504ecda3f93458a103cbab|
nmdc:omprc-11-atg8yc28	insert	has_output	nmdc:dobj-11-1044zx04|
nmdc:omprc-11-a6chj969	remove item	has_output	nmdc:1bee00bbc8f08d836aecb75a055a618f|
nmdc:omprc-11-a6chj969	insert	has_output	nmdc:dobj-11-p2qdw231|
nmdc:omprc-11-cagh2v58	remove item	has_output	nmdc:9873cc631388508c5ed9c9a8e2f55c6c|
nmdc:omprc-11-cagh2v58	insert	has_output	nmdc:dobj-11-k9vvmt83|
nmdc:omprc-11-hab7pc48	remove item	has_output	nmdc:0e83255565f0ffff2ffefa6138e7d1ee|
nmdc:omprc-11-hab7pc48	insert	has_output	nmdc:dobj-11-nsynfe02|
nmdc:omprc-11-tqg7h363	remove item	has_output	nmdc:c50aea4e1dc6d96a81f0e5bc0d61ffa0|
nmdc:omprc-11-tqg7h363	insert	has_output	nmdc:dobj-11-dms4nr79|
nmdc:omprc-11-k9p35n15	remove item	has_output	nmdc:06dc2e01a1cfcac71bd9423f5e52ec99|
nmdc:omprc-11-k9p35n15	insert	has_output	nmdc:dobj-11-bypw3d23|
nmdc:omprc-11-61e5wm30	remove item	has_output	nmdc:d81fe2397138a504ee160e16f207e728|
nmdc:omprc-11-61e5wm30	insert	has_output	nmdc:dobj-11-70np4b09|
nmdc:omprc-11-tc43pg33	remove item	has_output	nmdc:c0f6607f52667292d99ae74f74a5baec|
nmdc:omprc-11-tc43pg33	insert	has_output	nmdc:dobj-11-r38wq472|
nmdc:omprc-11-asz73v73	remove item	has_output	nmdc:4a127286846b0130f0cbc576517adddd|
nmdc:omprc-11-asz73v73	insert	has_output	nmdc:dobj-11-nwp59f62|
